Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
536,SOURCE TEMPERATURE,x,x,x,,,,2,°C,r,
537,MIN SOURCE TEMPERATURE,x,x,x,,-10,10,2,°C,r,
538,SOURCE PRESSURE,x,x,x,,,,7,bar,r,
539,HOT GAS TEMPERATURE,,,x,,,,2,°C,r,
540,HIGH PRESSURE,,,x,,,,2,bar,r,
541,LOW PRESSURE,,,x,,,,2,bar,r,
542,RETURN TEMPERATURE,x,x,,Heat pump 1,,,2,°C,r,HP1
543,FLOW TEMPERATURE,x,x,,Heat pump 1,,,2,°C,r,HP1
544,HOT GAS TEMPERATURE,x,x,,Heat pump 1,,,2,°C,r,HP1
545,LOW PRESSURE,x,x,,Heat pump 1,,,7,bar,r,HP1
546,MEAN PRESSURE,x,x,,Heat pump 1,,,7,bar,r,HP1
547,HIGH PRESSURE,x,x,,Heat pump 1,,,7,bar,r,HP1
548,WP WATER FLOW RATE,x,x,,Heat pump 1,,,2,l/min,r,HP1
549,RETURN TEMPERATURE,x,x,,Heat pump 2,,,2,°C,r,HP2
550,FLOW TEMPERATURE,x,x,,Heat pump 2,,,2,°C,r,HP2
551,HOT GAS TEMPERATURE,x,x,,Heat pump 2,,,2,°C,r,HP2
552,LOW PRESSURE,x,x,,Heat pump 2,,,7,bar,r,HP2
553,MEAN PRESSURE,x,x,,Heat pump 2,,,7,bar,r,HP2
554,HIGH PRESSURE,x,x,,Heat pump 2,,,7,bar,r,HP2
555,WP WATER FLOW RATE,x,x,,Heat pump 2,,,2,l/min,r,HP2
556,RETURN TEMPERATURE,x,x,,Heat pump 3,,,2,°C,r,HP3
557,FLOW TEMPERATURE,x,x,,Heat pump 3,,,2,°C,r,HP3
558,HOT GAS TEMPERATURE,x,x,,Heat pump 3,,,2,°C,r,HP3
559,LOW PRESSURE,x,x,,Heat pump 3,,,7,bar,r,HP3
560,MEAN PRESSURE,x,x,,Heat pump 3,,,7,bar,r,HP3
561,HIGH PRESSURE,x,x,,Heat pump 3,,,7,bar,r,HP3
562,WP WATER FLOW RATE,x,x,,Heat pump 3,,,2,l/min,r,HP3
563,RETURN TEMPERATURE,x,x,,Heat pump 4,,,2,°C,r,HP4
564,FLOW TEMPERATURE,x,x,,Heat pump 4,,,2,°C,r,HP4
565,HOT GAS TEMPERATURE,x,x,,Heat pump 4,,,2,°C,r,HP4
566,LOW PRESSURE,x,x,,Heat pump 4,,,7,bar,r,HP4
567,MEAN PRESSURE,x,x,,Heat pump 4,,,7,bar,r,HP4
568,HIGH PRESSURE,x,x,,Heat pump 4,,,7,bar,r,HP4
569,WP WATER FLOW RATE,x,x,,Heat pump 4,,,2,l/min,r,HP4
570,RETURN TEMPERATURE,x,x,,Heat pump 5,,,2,°C,r,HP5
571,FLOW TEMPERATURE,x,x,,Heat pump 5,,,2,°C,r,HP5
572,HOT GAS TEMPERATURE,x,x,,Heat pump 5,,,2,°C,r,HP5
573,LOW PRESSURE,x,x,,Heat pump 5,,,7,bar,r,HP5
574,MEAN PRESSURE,x,x,,Heat pump 5,,,7,bar,r,HP5
575,HIGH PRESSURE,x,x,,Heat pump 5,,,7,bar,r,HP5
576,WP WATER RATE,x,x,,Heat pump 5,,,2,l/min,r,HP5
577,RETURN TEMPERATURE,x,x,,Heat pump 6,,,2,°C,r,HP6
578,FLOW TEMPERATURE,x,x,,Heat pump 6,,,2,°C,r,HP6
579,HOT GAS,x,x,,Heat pump 6,,,2,°C,r,HP6
580,LOW PRESSURE,x,x,,Heat pump 6,,,7,bar,r,HP6
581,MEAN PRESSURE,x,x,,Heat pump 6,,,7,bar,r,HP6
582,HIGH PRESSURE,x,x,,Heat pump 6,,,7,bar,r,HP6
583,WP WATER FLOW RATE,x,x,,Heat pump 6,,,2,l/min,r,HP6
584,ACTUAL TEMPERATURE,x,,,"Room temperature, heating circuit 1",,,2,°C,r,ROOM TEMP HC1
585,SET TEMPERATURE,x,,,"Room temperature, heating circuit 1",,,2,°C,r,ROOM TEMP HC1
586,RELATIVE HUMIDITY,x,,,"Room temperature, heating circuit 1",,,2,%,r,ROOM TEMP HC1
587,DEW POINT TEMPERATURE,x,,,"Room temperature, heating circuit 1",,,2,°C,r,ROOM TEMP HC1
588,ACTUAL TEMPERATURE,x,,,"Room temperature, heating circuit 2",,,2,°C,r,ROOM TEMP HC2
589,SET TEMPERATURE,x,,,"Room temperature, heating circuit 2",,,2,°C,r,ROOM TEMP HC2
590,RELATIVE HUMIDITY,x,,,"Room temperature, heating circuit 2",,,2,%,r,ROOM TEMP HC2
591,DEW POINT TEMPERATURE,x,,,"Room temperature, heating circuit 2",,,2,°C,r,ROOM TEMP HC2
592,ACTUAL TEMPERATURE,x,,,"Room temperature, heating circuit 3",,,2,°C,r,ROOM TEMP HC3
593,SET TEMPERATURE,x,,,"Room temperature, heating circuit 3",,,2,°C,r,ROOM TEMP HC3
594,RELATIVE HUMIDITY,x,,,"Room temperature, heating circuit 3",,,2,%,r,ROOM TEMP HC3
595,DEW POINT TEMPERATURE,x,,,"Room temperature, heating circuit 3",,,2,°C,r,ROOM TEMP HC3
596,ACTUAL TEMPERATURE,x,,,"Room temperature, heating circuit 4",,,2,°C,r,ROOM TEMP HC4
597,SET TEMPERATURE,x,,,"Room temperature, heating circuit 4",,,2,°C,r,ROOM TEMP HC4
598,RELATIVE HUMIDITY,x,,,"Room temperature, heating circuit 4",,,2,%,r,ROOM TEMP HC4
599,DEW POINT TEMPERATURE,x,,,"Room temperature, heating circuit 4",,,2,°C,r,ROOM TEMP HC4
600,ACTUAL TEMPERATURE,x,,,"Room temperature, heating circuit 5",,,2,°C,r,ROOM TEMP HC5
601,SET TEMPERATURE,x,,,"Room temperature, heating circuit 5",,,2,°C,r,ROOM TEMP HC5
602,RELATIVE HUMIDITY,x,,,"Room temperature, heating circuit 5",,,2,%,r,ROOM TEMP HC5
603,DEW POINT TEMPERATURE,x,,,"Room temperature, heating circuit 5",,,2,°C,r,ROOM TEMP HC5
604,SET TEMPERATURE,x,,,"Room temperature, cooling circuit 1",,,2,°C,r,ROOM TEMP COOLING1
605,SET TEMPERATURE,x,,,"Room temperature, cooling circuit 2",,,2,°C,r,ROOM TEMP COOLING2
606,SET TEMPERATURE,x,,,"Room temperature, cooling circuit 3",,,2,°C,r,ROOM TEMP COOLING3
607,SET TEMPERATURE,x,,,"Room temperature, cooling circuit 4",,,2,°C,r,ROOM TEMP COOLING4
608,SET TEMPERATURE,x,,,"Room temperature, cooling circuit 5",,,2,°C,r,ROOM TEMP COOLING5
609,ACTUAL TEMPERATURE HK 3,x,,,,0,90,2,°C,r,
610,SET TEMPERATURE HK 3,x,,,,0,65,2,°C,r,
